"YearMonth","CCPI","CCPI_YoY","SLFR","Gold_LKR","GDP_Growth","Monthly_Avg_Exchange_Rate"
"2018-01","95.23059211","5.8","8.75","204483.5","2.31","153.8016"
"2018-02","94.53264803","4.5","8.75","206760.42","2.31","154.8579"
"2018-03","94.14490132","4.2","8.75","206742.22","2.31","155.7288"
"2018-04","94.22245066","3.8","8.5","208632.73","2.31","156.1354"
"2018-05","95.30814145","4.0","8.5","205920.43","2.31","157.8994"
"2018-06","97.246875","4.4","8.5","204183.79","2.31","159.0711"
"2018-07","97.55707237","5.4","8.5","197494.58","2.31","159.3375"
"2018-08","97.55707237","5.9","8.5","192774.0","2.31","160.3539"
"2018-09","96.85912829","4.3","8.5","197109.63","2.31","164.4153"
"2018-10","96.62648026","3.1","8.5","207766.09","2.31","171.2249"
"2018-11","97.86726974","3.3","9.0","215711.7","2.31","176.8496"
"2018-12","97.94481908","2.8","9.0","225190.44","2.31","180.098"
"2019-01","98.79786184","3.7","9.0","235200.57","-0.22","182.1277"
"2019-02","98.33256579","4.0","9.0","235906.67","-0.22","178.7331"
"2019-03","98.17746711","4.3","9.0","232424.02","-0.22","178.4298"
"2019-04","98.48766447","4.5","9.0","224954.22","-0.22","174.8012"
"2019-05","100.0386513","5.0","8.5","226455.64","-0.22","176.4447"
"2019-06","100.9692434","3.8","8.5","240282.67","-0.22","176.5889"
"2019-07","100.8141447","3.3","8.5","249017.12","-0.22","175.9902"
"2019-08","100.8916941","3.4","8.0","266869.11","-0.22","177.9705"
"2019-09","101.6671875","5.0","8.0","273094.69","-0.22","180.7752"
"2019-10","101.8222862","5.4","8.0","270986.89","-0.22","181.4511"
"2019-11","102.1324836","4.4","8.0","265794.68","-0.22","180.3729"
"2019-12","102.6753289","4.8","8.0","268434.42","-0.22","181.2539"
"2020-01","104.3814145","5.7","7.5","282869.87","-4.62","181.4036"
"2020-02","104.3814145","6.2","7.5","289952.47","-4.62","181.5628"
"2020-03","103.4508224","5.4","7.25","294287.55","-4.62","185.0567"
"2020-04","103.6059211","5.2","7.0","323770.13","-4.62","193.0854"
"2020-05","104.0712171","4.0","6.5","323277.99","-4.62","187.865"
"2020-06","104.9242599","3.9","6.5","322752.88","-4.62","185.9545"
"2020-07","105.0018092","4.2","5.5","341982.73","-4.62","185.8487"
"2020-08","105.0018092","4.1","5.5","364106.09","-4.62","184.8939"
"2020-09","105.6997533","4.0","5.5","356387.75","-4.62","185.0317"
"2020-10","105.854852","4.0","5.5","350901.1","-4.62","184.4379"
"2020-11","106.320148","4.1","5.5","345704.18","-4.62","184.7882"
"2020-12","107.0180921","4.2","5.5","347455.43","-4.62","187.1822"
"2021-01","107.5609375","3.0","5.5","356606.04","4.21","190.4918"
"2021-02","107.8711349","3.3","5.5","352703.46","4.21","194.0665"
"2021-03","107.7160362","4.1","5.5","339340.85","4.21","196.9825"
"2021-04","107.6384868","3.9","5.5","347009.29","4.21","197.423"
"2021-05","108.801727","4.5","5.5","367752.82","4.21","199.5847"
"2021-06","108.801727","5.2","5.5","367908.0","4.21","199.8161"
"2021-07","110.9731086","5.7","5.5","360996.45","4.21","199.9778"
"2021-08","111.2833059","6.0","6.0","357958.44","4.21","200.4965"
"2021-09","111.748602","5.7","6.0","360359.28","4.21","201.9858"
"2021-10","113.9199836","7.6","6.0","357212.82","4.21","201.0899"
"2021-11","116.8668586","9.9","6.0","367281.08","4.21","201.8582"
"2021-12","119.9688322","12.1","6.0","360996.11","4.21","201.399"
"2022-01","122.8381579","14.2","6.5","366240.07","-7.35","201.4647"
"2022-02","124.1564967","15.1","6.5","374942.53","-7.35","201.7362"
"2022-03","127.8788651","18.7","7.5","498839.61","-7.35","255.8081"
"2022-04","139.7439145","29.8","14.5","617078.8","-7.35","319.4404"
"2022-05","151.3763158","39.1","14.5","664176.45","-7.35","358.939"
"2022-06","170.7636513","54.6","14.5","662498.59","-7.35","360.2428"
"2022-07","178.4410362","60.8","15.5","627923.15","-7.35","360.8724"
"2022-08","182.8613487","64.3","15.5","636790.16","-7.35","360.9983"
"2022-09","189.7632401","69.8","15.5","609601.59","-7.35","362.3826"
"2022-10","189.0652961","66.0","15.5","605051.99","-7.35","363.1484"
"2022-11","188.1347039","61.0","15.5","626986.08","-7.35","363.394"
"2022-12","188.6","57.2","15.5","652657.06","-7.35","363.1652"
"2023-01","188.6","51.7","15.5","687665.34","-2.33","362.4228"
"2023-02","189.5","50.6","15.5","673545.19","-2.33","361.9766"
"2023-03","195.0","50.3","16.5","629422.92","-2.33","329.4709"
"2023-04","192.3","35.3","16.5","641298.34","-2.33","321.4244"
"2023-05","192.3","35.3","16.5","617487.9","-2.33","310.1639"
"2023-06","192.3","12.0","14.0","586408.47","-2.33","301.2612"
"2023-07","190.2","6.3","12.0","622858.13","-2.33","319.2903"
"2023-08","190.1","4.0","12.0","616721.13","-2.33","321.5764"
"2023-09","191.8","1.3","12.0","620989.05","-2.33","322.7693"
"2023-10","191.4","1.5","11.0","620905.52","-2.33","324.7303"
"2023-11","193.4","3.4","10.0","651467.4","-2.33","328.25"
"2023-12","195.1","4.0","10.0","664909.39","-2.33","326.7423"
"2024-01","200.7","6.4","10.0","654036.02","5.01","321.1706"
"2024-02","200.6","5.9","10.0","633390.5","5.01","312.5801"
"2024-03","196.7","0.9","9.5","658552.39","5.01","305.665"
"2024-04","195.2","1.5","9.5","698104.05","5.01","299.4232"
"2024-05","194.1","0.9","9.5","705340.78","5.01","299.6923"
"2024-06","195.6","1.7","9.5","706623.23","5.01","303.8121"
"2024-07","194.7","2.4","9.25","725808.91","5.01","303.7559"
"2024-08","191.1","0.5","9.25","741544.54","5.01","300.6683"
"2024-09","190.9","-0.5","9.25","772120.37","5.01","301.1505"
"2024-10","189.9","-0.8","9.25","788515.51","5.01","293.7851"
"2024-11","189.4","-2.1","8.5","777227.87","5.01","292.0092"
"2024-12","191.7","-1.7","8.5","770762.81","5.01","291.6805"
"2025-01","192.6","-4.0","8.5","800772.48","5.0","296.1796"
"2025-02","192.2","-4.2","8.5","860629.3","5.0","296.8034"
"2025-03","191.6","-2.6","8.5","879630.48","5.0","295.909"
"2025-04","191.2","-2.0","8.5","963908.54","5.0","298.5312"
"2025-05","192.8","-0.7","8.25","985440.85","5.0","299.4142"
"2025-06","194.5","-0.6","8.25","1006916.82","5.0","299.9014"
"2025-07","194.1","-0.3","8.25","1006305.17","5.0","301.1217"
"2025-08","193.3","1.2","8.25","1012301.59","5.0","301.4891"
"2025-09","193.7","1.5","8.25","1105498.31","5.0","302.1955"
"2025-10","193.8","2.1","8.25","1228580.41","5.0","303.1305"
"2025-11","193.4","2.1","8.25","1252335.24","5.0","306.347"
"2025-12","195.8","2.1","8.25","1335657.67","5.0","309.2009"
"2026-01","197.0","2.3","8.25","1463589.04","5.0","309.6541"
"2026-02","195.3","1.6","8.25","1549319.59","5.0","309.3638"
"2026-03","195.8","2.2","8.25","1522517.05","5.0","311.9129"
"2026-04","195.8","2.2","8.25","1499881.81","5.0","315.6804"
